created_at,user_id,session_id,device_id,attempt_index,char_id,response_time,press_duration,retry_count,prev_accuracy,prev_mastery,hint_count,session_number,difficulty_level,time_since_last_practice,prev_confidence,current_streak,wrong_streak,prev_mistakes,teaching_action,confidence_state,expected_pattern,entered_pattern,is_correct,press_order,source,is_synthetic,spec_version,braille_map_verified
2026-07-31T04:24:01.405+00:00,P03,d1eb69b7-bef1-49de-8105-baf7109d3a01,dev_ofsotz1n,10,7,4978.30000007153,63.8999999761581,0,0,0,0,1,1,604800,1,1,0,0,2,1,17,17,True,"[1,5]",web,False,1,True
2026-07-31T04:24:07.001+00:00,P03,d1eb69b7-bef1-49de-8105-baf7109d3a01,dev_ofsotz1n,11,33,2073.5,131.92000002861,0,0,0,0,1,1,604800,1,0,1,0,0,1,3,61,False,"[1,4,5,6,3]",web,False,1,False
2026-07-31T04:24:15.965+00:00,P03,d1eb69b7-bef1-49de-8105-baf7109d3a01,dev_ofsotz1n,12,33,6625.80000007153,91.8999999761581,1,0,0,0,1,1,8.964,1,1,0,1,2,2,3,3,True,"[1,2]",web,False,1,False
2026-07-31T04:24:21.512+00:00,P03,d1eb69b7-bef1-49de-8105-baf7109d3a01,dev_ofsotz1n,13,39,982.200000047684,73.3666666348775,0,0,0,0,1,1,604800,1,1,0,0,2,0,41,41,True,"[1,4,6]",web,False,1,False
2026-07-31T04:24:26.64+00:00,P03,d1eb69b7-bef1-49de-8105-baf7109d3a01,dev_ofsotz1n,14,31,1164.5,81.1500000059605,0,0,0,0,1,1,604800,1,1,0,0,2,0,15,15,True,"[3,2,1,4]",web,False,1,False
2026-07-31T04:24:33.348+00:00,P03,d1eb69b7-bef1-49de-8105-baf7109d3a01,dev_ofsotz1n,15,49,2643.20000004768,78,0,0,0,0,1,1,604800,1,0,1,0,0,1,8,4,False,[3],web,False,1,False
2026-07-31T04:24:40.947+00:00,P03,d1eb69b7-bef1-49de-8105-baf7109d3a01,dev_ofsotz1n,16,49,4577,88.8999999761581,1,0,0,0,1,1,7.599,1,0,2,1,0,1,8,4,False,[3],web,False,1,False
2026-07-31T04:24:47.684+00:00,P03,d1eb69b7-bef1-49de-8105-baf7109d3a01,dev_ofsotz1n,17,49,1184.60000002384,84.5,2,0,0,0,1,1,6.737,1,0,3,2,2,2,8,2,False,[2],web,False,1,False
2026-07-31T04:24:51.036+00:00,P03,d1eb69b7-bef1-49de-8105-baf7109d3a01,dev_ofsotz1n,18,42,0,77.6999999284744,0,1,0.25,0,1,1,81.433,2,0,1,0,0,1,19,2,False,[2],web,False,1,False
2026-07-31T04:24:56.565+00:00,P03,d1eb69b7-bef1-49de-8105-baf7109d3a01,dev_ofsotz1n,19,42,1236.79999995232,92.8666666348775,1,0.5,0.1625,0,1,1,5.529,1,0,2,1,0,1,19,52,False,"[3,6,5]",web,False,1,False
